name,age,gender,caste,religion,occupation,education,annual_income,marital_status,district,family_size,ration_card_type,disability_status,bank_account,land_ownership,land_holding_acres,recommended_scheme
Sangeetha,24,Female,ST,Christian,Homemaker,12th Pass,158789.69,Married,Virudhunagar,2.0,BPL,No,Yes,No,0.0,Kalaignar Magalir Urimai Thogai
Karthik,20,Female,BC,Hindu,Employee,Post Graduate,207249.92,Single,Nagapattinam,3.0,BPL,No,Yes,No,0.0,Amma Two Wheeler Scheme
Sumathy,27,Female,BC,Hindu,Homemaker,Post Graduate,99824.49,Married,Villupuram,3.0,BPL,No,Yes,No,0.0,Tamil Nadu Maternity Benefit Scheme
,35,Female,SC,Hindu,Homemaker,12th Pass,43757.92,Married,Dindigul,6.0,BPL,No,Yes,No,0.0,Dr. Muthulakshmi Reddy Maternity Benefit Scheme
Divya,25,Female,SC,Christian,Student,Post Graduate,96166.2,Single,Chennai,4.0,BPL,No,Yes,No,0.0,Marriage Assistance Scheme (Moovalur)
Murugan,20,Female,MBC,Others,Homemaker,,68145.08,Married,Krishnagiri,5.0,BPL,No,Yes,No,0.0,Cradle Baby Scheme
Kavitha,26,Female,SC,Muslim,Homemaker,8th Pass,65422.61,Married,Nagapattinam,5.0,BPL,No,Yes,No,0.0,Free Sewing Machine Scheme
Sumathy,41,Female,SC,Others,Farmer,10th Pass,60354.5,Single,Coimbatore,3.0,APL,No,Yes,Yes,2.53,PM Kisan Samman Nidhi
Nithya,50,Female,SC,Christian,Farmer,12th Pass,,Married,Thanjavur,2.0,BPL,No,Yes,Yes,0.93,Free Distribution of Seeds and Fertilizers
Lakshmi,57,Female,BC,Hindu,Farmer,Graduate,83051.04,Married,Ramanathapuram,3.0,BPL,No,Yes,Yes,2.56,Free Borewell Scheme for Farmers
Kavitha,51,Female,ST,Others,Farmer,Post Graduate,39727.26,Married,Erode,5.0,BPL,No,Yes,Yes,3.22,Crop Insurance Scheme (PMFBY)
Venkat,27,Female,SC,Others,Farmer,Graduate,441948.7,Married,Chennai,7.0,APL,No,Yes,Yes,3.08,Kisan Credit Card Scheme
Selvam,63,Male,BC,Others,Farmer,Graduate,,Married,Chennai,7.0,BPL,No,Yes,Yes,1.93,Solar Pump Scheme for Farmers
Priya,52,Female,MBC,Others,Farmer,No Formal Education,217356.16,Married,Erode,4.0,BPL,No,Yes,Yes,1.52,Coconut Development Board Subsidy
Anitha,45,Male,SC,Others,Fisher,Graduate,92467.39,Married,Tirunelveli,4.0,BPL,No,Yes,No,0.0,Free Boat and Net Scheme
Priya,53,Male,MBC,Christian,Fisher,12th Pass,69508.59,Married,Cuddalore,3.0,BPL,No,Yes,No,0.0,Fishermen Accident Relief Scheme
Kumar,53,Male,BC,Christian,Fisher,8th Pass,,Married,Tiruchirappalli,7.0,BPL,No,Yes,No,0.0,Fishermen Housing Scheme
,55,Male,BC,Others,Fisher,Graduate,83834.87,Married,Salem,6.0,BPL,No,Yes,No,0.0,Fishermen Saving-cum-Relief Scheme
Rajan,9,Female,MBC,Others,Student,No Formal Education,121228.99,Single,Cuddalore,2.0,BPL,No,No,No,0.0,Chief Minister's Breakfast Scheme
Murugan,19,Male,BC,Christian,Student,10th Pass,106460.36,Single,Vellore,2.0,BPL,No,Yes,No,0.0,Free Laptop Scheme
Arjun,25,Female,ST,Hindu,Student,12th Pass,158702.69,Single,Krishnagiri,4.0,APL,No,Yes,No,0.0,Pudhumai Penn Scheme
Nithya,27,Male,MBC,Others,Unemployed,Post Graduate,230221.04,Single,Tiruchirappalli,4.0,APL,No,Yes,No,0.0,CM Internship Programme
Balu,23,Female,ST,Hindu,Unemployed,Post Graduate,91951.21,Single,Salem,4.0,BPL,No,Yes,No,0.0,SEED Scheme (Educated Unemployed)
Divya,19,Female,BC,Muslim,Student,8th Pass,37734.0,Single,Villupuram,2.0,BPL,No,No,No,0.0,Free Bus Pass for Students
Venkat,21,Male,SC,,Student,Post Graduate,131931.82,Single,Ramanathapuram,2.0,BPL,No,Yes,No,0.0,Dr. Ambedkar Law Entrance Scholarship
Balu,38,Female,SC,Hindu,Farmer,Post Graduate,37712.68,Married,Ramanathapuram,6.0,BPL,No,Yes,No,0.0,Free Housing Scheme (SC/ST)
Meena,14,Female,SC,Others,Student,Post Graduate,20923.07,Single,Salem,2.0,BPL,No,Yes,No,0.0,Adi Dravidar Welfare Scholarship
Murugan,23,Male,SC,Hindu,Self-employed,Graduate,149230.1,Single,Krishnagiri,4.0,APL,No,Yes,No,0.0,SC/ST Entrepreneur Support Scheme
Nithya,36,Male,SC,Muslim,Employee,12th Pass,114425.29,Married,Villupuram,3.0,APL,No,Yes,No,0.0,Inter-Caste Marriage Incentive
Priya,44,Female,ST,Christian,Unemployed,Post Graduate,20133.49,Widowed,Thoothukudi,5.0,BPL,Yes,Yes,No,0.0,Disability Pension Scheme
Vijay,38,Male,SC,Christian,Homemaker,No Formal Education,83550.35,Single,Erode,3.0,BPL,Yes,Yes,No,0.0,Free Tricycle and Aids Scheme
Balu,54,Female,MBC,Hindu,Unemployed,5th Pass,36728.31,Married,Coimbatore,3.0,BPL,Yes,,No,0.0,Transgender Welfare Scheme
Karthik,14,Female,BC,Christian,Student,8th Pass,37650.32,Single,Nagapattinam,3.0,BPL,Yes,,No,0.0,Special School Assistance
Nithya,25,Female,MBC,Christian,Student,10th Pass,56545.1,Single,Erode,5.0,BPL,No,Yes,No,0.0,CM Youth Sports Incentive
Lakshmi,23,Male,ST,Christian,Unemployed,Post Graduate,47942.27,Single,Thanjavur,2.0,BPL,No,Yes,No,0.0,Self-Employment Loan Scheme (NEEDS)
Sumathy,49,Female,ST,Muslim,Unorganised Worker,8th Pass,121337.46,Married,Dindigul,3.0,BPL,No,Yes,No,0.0,Unorganised Workers Welfare Scheme
,41,Female,BC,Hindu,Construction Worker,5th Pass,60662.68,Married,,3.0,BPL,No,Yes,No,0.0,Construction Workers Welfare Scheme
Lakshmi,56,Male,BC,Others,Toddy Tapper,Post Graduate,87266.23,Married,Villupuram,5.0,BPL,No,Yes,No,0.0,TASMAC Toddy Tappers Welfare Scheme
Nithya,71,Female,ST,Muslim,Unemployed,8th Pass,32296.56,Married,Villupuram,1.0,BPL,No,Yes,No,0.0,Old Age Pension Scheme (IGNOAPS)
Rekha,29,Female,SC,Christian,Farmer,Post Graduate,19288.99,Widowed,Sivaganga,1.0,BPL,,Yes,No,0.0,Widow Pension Scheme
Rekha,31,Female,SC,Others,Self-employed,8th Pass,441992.05,Single,Namakkal,3.0,APL,No,Yes,Yes,2.56,CMCHIS – Chief Minister's Health Insurance
Divya,31,Female,BC,Christian,Construction Worker,8th Pass,34627.83,Married,Kancheepuram,2.0,BPL,No,Yes,No,0.0,Free Ration Scheme (PDS)
Nithya,59,Female,ST,Others,Unorganised Worker,8th Pass,129299.26,Married,Tirunelveli,7.0,BPL,No,Yes,No,0.0,PMAY (Pradhan Mantri Awas Yojana)
Meena,55,Male,BC,Christian,Employee,12th Pass,94404.55,Married,Kancheepuram,6.0,APL,No,Yes,No,0.0,Tamil Nadu Housing Board Scheme
,57,Male,SC,Muslim,Homemaker,12th Pass,267944.35,Single,Nagapattinam,6.0,APL,No,Yes,No,0.0,Amma Mini Clinic
Sumathy,21,Female,ST,Muslim,Student,,138692.25,Single,,2.0,BPL,No,Yes,No,0.0,Moovalur Ramamirtham Ammaiyar Higher Education Scheme
Sumathy,35,Female,MBC,Christian,Self-employed,12th Pass,191895.79,Single,Erode,5.0,APL,No,Yes,No,,MSME Subsidy Scheme
Sumathy,53,Female,SC,Hindu,Homemaker,Graduate,38807.01,,Dindigul,2.0,BPL,No,Yes,No,0.0,Micro Credit for Women SHGs
Kavitha,51,Female,MBC,Christian,Unorganised Worker,12th Pass,187390.42,Married,Virudhunagar,2.0,BPL,No,Yes,No,0.0,Anaithu Grama Anna Marumalarchi Thittam
Selvam,53,Female,ST,Hindu,Homemaker,12th Pass,106015.45,Married,Madurai,6.0,,No,Yes,No,0.0,Free Colour TV Scheme
Vijay,36,Male,MBC,Hindu,Student,8th Pass,159412.11,Married,Coimbatore,4.0,APL,No,Yes,No,0.0,Amma Canteen Scheme
Kumar,49,Female,BC,,Self-employed,12th Pass,361111.73,Single,Dindigul,5.0,BPL,No,Yes,Yes,2.95,Chief Minister's Green Tamil Nadu Mission
Kumar,30,Female,SC,Others,Homemaker,12th Pass,158847.43,Married,Krishnagiri,6.0,BPL,No,Yes,No,0.0,Kalaignar Magalir Urimai Thogai
Rajan,37,Female,MBC,Hindu,Employee,Post Graduate,68973.87,Single,Nagapattinam,2.0,APL,No,Yes,No,0.0,Amma Two Wheeler Scheme
Kavitha,31,Female,ST,Muslim,Homemaker,10th Pass,53446.17,Married,Krishnagiri,4.0,BPL,No,Yes,No,0.0,Tamil Nadu Maternity Benefit Scheme
Sumathy,24,Female,MBC,Hindu,Homemaker,5th Pass,108742.09,Married,Thanjavur,2.0,BPL,No,Yes,No,0.0,Dr. Muthulakshmi Reddy Maternity Benefit Scheme
Murugan,19,Female,ST,Hindu,Student,Graduate,134359.9,Single,Thoothukudi,5.0,BPL,No,Yes,No,0.0,Marriage Assistance Scheme (Moovalur)
Kavitha,30,Female,MBC,Hindu,Homemaker,Graduate,38682.63,Married,Virudhunagar,6.0,BPL,No,Yes,No,0.0,Cradle Baby Scheme
Divya,23,Female,BC,Others,Homemaker,5th Pass,71819.62,Married,Chennai,3.0,BPL,No,Yes,No,0.0,Free Sewing Machine Scheme
Nithya,63,Male,MBC,Hindu,Farmer,Graduate,49763.22,Married,Tiruchirappalli,2.0,APL,No,Yes,Yes,0.94,PM Kisan Samman Nidhi
Balu,64,Male,MBC,Others,Farmer,10th Pass,42468.67,Married,Tiruchirappalli,2.0,BPL,No,Yes,Yes,2.97,Free Distribution of Seeds and Fertilizers
Nithya,33,Female,BC,Muslim,Farmer,10th Pass,132242.18,Married,Thanjavur,5.0,BPL,No,Yes,Yes,1.01,Free Borewell Scheme for Farmers
Nithya,50,Female,SC,Others,Farmer,10th Pass,277015.88,Married,Thanjavur,4.0,APL,No,Yes,Yes,1.71,Crop Insurance Scheme (PMFBY)
Kumar,44,Male,BC,Muslim,Farmer,Post Graduate,366704.32,Married,Erode,6.0,BPL,No,Yes,Yes,3.04,Kisan Credit Card Scheme
Sangeetha,58,Male,SC,Others,Farmer,Graduate,167700.86,Married,Madurai,7.0,BPL,No,Yes,Yes,1.74,Solar Pump Scheme for Farmers
,37,Female,SC,Christian,Farmer,8th Pass,274270.81,Married,Namakkal,3.0,BPL,No,Yes,Yes,3.74,Coconut Development Board Subsidy
Kumar,48,Male,SC,Others,Fisher,8th Pass,89290.59,Married,Ramanathapuram,6.0,BPL,No,Yes,No,0.0,Free Boat and Net Scheme
Kavitha,28,Male,SC,Hindu,Fisher,5th Pass,117926.72,Married,Villupuram,6.0,BPL,No,Yes,No,0.0,Fishermen Accident Relief Scheme
Nithya,22,Male,BC,Christian,Fisher,12th Pass,89632.06,Married,Virudhunagar,3.0,BPL,No,Yes,No,0.0,Fishermen Housing Scheme
Venkat,29,Male,MBC,Christian,Fisher,Graduate,94403.15,Married,Tiruchirappalli,5.0,BPL,No,Yes,No,0.0,Fishermen Saving-cum-Relief Scheme
Selvam,9,Female,ST,Hindu,Student,No Formal Education,69999.92,Single,Thanjavur,3.0,BPL,No,No,No,,Chief Minister's Breakfast Scheme
Selvam,15,Male,OC,Hindu,Student,Post Graduate,35574.14,Single,Chennai,5.0,BPL,No,Yes,No,0.0,Free Laptop Scheme
Karthik,18,Female,MBC,Hindu,Student,Post Graduate,104348.74,Single,Chennai,3.0,BPL,No,Yes,No,0.0,Pudhumai Penn Scheme
Geetha,29,Female,BC,Muslim,Unemployed,Graduate,273898.91,Single,Ramanathapuram,5.0,BPL,No,Yes,No,0.0,CM Internship Programme
Rekha,26,Male,MBC,Hindu,Unemployed,Graduate,70238.73,Single,Vellore,3.0,BPL,,Yes,No,0.0,SEED Scheme (Educated Unemployed)
Sumathy,21,Female,ST,Muslim,Student,5th Pass,126831.68,Single,Coimbatore,2.0,BPL,No,No,No,0.0,Free Bus Pass for Students
Kavitha,17,Male,SC,Muslim,Student,Graduate,81263.55,Single,Tirunelveli,3.0,APL,No,Yes,No,0.0,Dr. Ambedkar Law Entrance Scholarship
Arjun,29,Female,SC,Hindu,Unorganised Worker,Graduate,80584.71,Married,Thoothukudi,6.0,BPL,No,Yes,No,0.0,Free Housing Scheme (SC/ST)
Priya,25,Male,SC,Others,Student,Graduate,119407.96,Single,Madurai,4.0,BPL,No,Yes,No,0.0,Adi Dravidar Welfare Scholarship
Kavitha,40,Male,SC,Christian,Self-employed,12th Pass,120869.48,Married,Dindigul,3.0,BPL,No,Yes,No,0.0,SC/ST Entrepreneur Support Scheme
Sangeetha,39,Female,SC,Others,Farmer,Post Graduate,304801.48,,Vellore,2.0,BPL,No,Yes,No,0.0,Inter-Caste Marriage Incentive
Selvam,31,Male,BC,Others,Unemployed,10th Pass,76865.23,Married,Kancheepuram,5.0,BPL,Yes,Yes,No,0.0,Disability Pension Scheme
Balu,71,Female,ST,Christian,Student,12th Pass,23143.8,Single,Nagapattinam,2.0,BPL,Yes,Yes,No,0.0,Free Tricycle and Aids Scheme
Sangeetha,49,Female,SC,Hindu,Homemaker,Post Graduate,49412.44,Married,Vellore,2.0,BPL,Yes,Yes,No,0.0,Transgender Welfare Scheme
Nithya,12,Female,SC,Others,Student,8th Pass,155614.53,Single,Namakkal,4.0,BPL,Yes,No,No,0.0,Special School Assistance
Kumar,22,Male,MBC,Hindu,Student,Post Graduate,37218.36,Single,Namakkal,5.0,BPL,No,Yes,No,0.0,CM Youth Sports Incentive
Meena,35,Female,SC,Christian,Unemployed,Graduate,135724.78,Single,Cuddalore,2.0,BPL,No,Yes,No,0.0,Self-Employment Loan Scheme (NEEDS)
Kavitha,36,Female,ST,Hindu,Unorganised Worker,10th Pass,74768.46,Married,Coimbatore,6.0,BPL,No,Yes,No,0.0,Unorganised Workers Welfare Scheme
Nithya,49,Male,BC,Muslim,Construction Worker,10th Pass,132341.23,Married,Tiruchirappalli,6.0,BPL,No,Yes,No,0.0,Construction Workers Welfare Scheme
Sumathy,47,Male,ST,Hindu,Toddy Tapper,12th Pass,42832.06,Married,Thoothukudi,6.0,BPL,No,Yes,No,0.0,TASMAC Toddy Tappers Welfare Scheme
Divya,63,Female,ST,Muslim,Farmer,5th Pass,178600.54,Widowed,Dindigul,1.0,BPL,No,Yes,No,0.0,Old Age Pension Scheme (IGNOAPS)
Lakshmi,49,Female,ST,Muslim,Homemaker,12th Pass,49865.43,Widowed,Thanjavur,5.0,BPL,No,Yes,No,0.0,Widow Pension Scheme
Arjun,55,Female,OC,Hindu,Homemaker,8th Pass,225537.61,Single,Salem,4.0,APL,No,Yes,Yes,2.21,CMCHIS – Chief Minister's Health Insurance
Rekha,70,Male,BC,Others,Homemaker,10th Pass,168908.6,Married,Vellore,6.0,BPL,No,Yes,No,0.0,Free Ration Scheme (PDS)
Murugan,30,Female,MBC,Muslim,Unorganised Worker,Graduate,231919.01,Married,Vellore,3.0,BPL,No,Yes,No,0.0,PMAY (Pradhan Mantri Awas Yojana)
Kavitha,49,Male,OC,Muslim,Employee,12th Pass,122599.04,Married,Cuddalore,5.0,BPL,No,Yes,No,0.0,Tamil Nadu Housing Board Scheme
Balu,70,Male,MBC,Hindu,Homemaker,8th Pass,163405.18,Single,Virudhunagar,5.0,APL,No,Yes,No,0.0,Amma Mini Clinic
Anitha,21,Female,BC,Christian,Student,Post Graduate,70370.94,Single,Sivaganga,2.0,APL,No,Yes,No,0.0,Moovalur Ramamirtham Ammaiyar Higher Education Scheme
Nithya,29,Female,OC,Others,Self-employed,Post Graduate,153512.81,Single,Thoothukudi,3.0,APL,,Yes,No,0.0,MSME Subsidy Scheme
Rekha,51,Female,SC,Hindu,Homemaker,5th Pass,108215.49,Married,Kancheepuram,3.0,BPL,No,Yes,No,0.0,Micro Credit for Women SHGs
Rajan,41,Male,MBC,Others,Homemaker,8th Pass,176968.98,Married,Coimbatore,2.0,BPL,No,Yes,No,0.0,Anaithu Grama Anna Marumalarchi Thittam
Kumar,51,Male,SC,Muslim,Homemaker,5th Pass,27554.95,Married,Cuddalore,2.0,BPL,No,Yes,No,0.0,Free Colour TV Scheme
Karthik,21,Male,MBC,Hindu,Employee,Post Graduate,99508.06,Married,Tiruchirappalli,4.0,APL,No,Yes,No,0.0,Amma Canteen Scheme
Rekha,45,Female,BC,Hindu,Employee,10th Pass,257480.15,Single,Thanjavur,3.0,BPL,No,Yes,No,2.36,Chief Minister's Green Tamil Nadu Mission
Karthik,54,Female,ST,Others,Homemaker,10th Pass,177994.31,Married,Virudhunagar,2.0,BPL,No,Yes,No,0.0,Kalaignar Magalir Urimai Thogai
Karthik,26,Female,MBC,Muslim,Employee,10th Pass,91830.0,Single,Thoothukudi,4.0,APL,No,Yes,No,0.0,Amma Two Wheeler Scheme
Arjun,39,Female,MBC,Others,Homemaker,Post Graduate,56707.21,Married,Salem,4.0,BPL,No,Yes,No,0.0,Tamil Nadu Maternity Benefit Scheme
Nithya,25,Female,SC,Christian,Homemaker,No Formal Education,157997.9,Married,Cuddalore,6.0,BPL,No,Yes,No,0.0,Dr. Muthulakshmi Reddy Maternity Benefit Scheme
Balu,20,Female,SC,Hindu,Student,10th Pass,35905.05,Single,Villupuram,4.0,BPL,No,Yes,No,0.0,Marriage Assistance Scheme (Moovalur)
